month,complaint_description,total_requests
3,HPD - Neighborhood Home Programs,18
3,Vendor Permit - ROW,17
3,WPD - Erosion,16
3,ZZ - Tree Issue ROW,15
3,ACD - Case Updates/Code Connect Messages,13
3,SBO - Debris in Street,13
3,AE - Electric Vehicle Station Issues,13
3,SBO - Pothole Repair,12
3,WPD - Ditch/Driveway Pipe Services,11
3,Ordinance Universal Recycling,11
3,ATD - Pay-by-Phone App,11
3,ATD - School Zone Sign Maintenance,10
3,ARR - Household Hazardous Waste,10
3,Animal Protection - Injured/Sick Animal,10
3,ARR - Pet Search,9
3,Animal Protection - Vicious Dog Complaint,9
3,WPD - Flooding Past,8
3,Parking Permit- ROW,8
3,ACD - Billboard Complaint,8
3,EV PIE Station Issues,8
3,Flood Report,8
